total_time,timedelta,simulation_status,World.PrimaryBattleship.x,World.PrimaryBattleship.y,World.PrimaryBattleship.actions,World.PrimaryBattleship.heading,World.PrimaryBattleship.waypoint_heading,World.PrimaryBattleship.option_port,World.PrimaryBattleship.option_starboard,World.PrimaryBattleship.chosen_direction,World.PrimaryBattleship.user_override,World.PrimaryBattleship.user_override_heading,World.PrimaryBattleship.ca_override,World.PrimaryBattleship.ca_override_heading,World.PrimaryBattleship.ca_override_speed,World.PrimaryBattleship.supervisor_override_heading,World.PrimaryBattleship.supervisor_override_speed,World.PrimaryBattleship.chosen_heading,World.PrimaryBattleship.current_speed,World.PrimaryBattleship.out_of_bounds,World.PrimaryBattleship.CollisionAvoidance.relevant_objects,World.PrimaryBattleship.Engine.desired_speed,World.PrimaryBattleship.Navigation.next_waypoint,World.PrimaryBattleship.Navigation.waypoints,World.PrimaryBattleship.Navigation.waypoint_distances,World.PrimaryBattleship.Navigation.completed_waypoints,World.PrimaryBattleship.Navigation.has_waypoints,World.PrimaryBattleship.RadarSonar.collision_warning,World.PrimaryBattleship.RadarSonar.collision_event,World.PrimaryBattleship.RadarSonar.radar_geometry,World.PrimaryBattleship.RadarSonar.radar_objects,World.PrimaryBattleship.RadarSonar.radar_object_distances,World.PrimaryBattleship.RadarSonar.warning_objects,World.PrimaryBattleship.RadarSonar.collision_objects,World.PrimaryBattleship.RadarSonar.transformed_geometry,World.PrimaryBattleship.Weapons.targets,World.PrimaryBattleship.Weapons.target_distances,World.PrimaryBattleship.Weapons.has_targets
0.5,0.5,Unknown,700.0,700.0,Moving,0,67.82325504084622,67.82325504084622,292.1767449591538,port,False,,False,,,,,67.82325504084622,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.7601284086463, 905.9939293394851, 3882.154685223143]",[],True,False,False,"[(2100.0, 700.0), (2092.3306535155825, 553.6601514252852), (2069.406641027328, 408.923632855137), (2031.4791228132149, 267.37620787507365), (1978.9636406996412, 130.5686996938798), (1912.4355652982142, 1.1368683772161603e-13), (1832.6237921249265, -122.89935320946245), (1740.402755668352, -236.78284890240138), (1636.7828489024014, -340.4027556683518), (1522.8993532094623, -432.62379212492647), (1400.0, -512.435565298214), (1269.4313003061206, -578.9636406996412), (1132.6237921249265, -631.4791228132149), (991.0763671448633, -669.4066410273279), (846.3398485747151, -692.3306535155825), (700.0000000000001, -700.0), (553.6601514252853, -692.3306535155828), (408.9236328551372, -669.4066410273281), (267.3762078750737, -631.4791228132151), (130.5686996938798, -578.9636406996415), (3.410605131648481e-13, -512.4355652982142), (-122.89935320946222, -432.62379212492647), (-236.78284890240104, -340.40275566835226), (-340.4027556683518, -236.78284890240172), (-432.62379212492624, -122.89935320946256), (-512.435565298214, -4.547473508864641e-13), (-578.963640699641, 130.56869969387935), (-631.4791228132149, 267.3762078750735), (-669.4066410273279, 408.92363285513636), (-692.3306535155825, 553.6601514252848), (-700.0, 699.9999999999998), (-692.3306535155828, 846.3398485747143), (-669.4066410273281, 991.0763671448626), (-631.4791228132151, 1132.6237921249262), (-578.9636406996415, 1269.4313003061197), (-512.4355652982144, 1399.9999999999995), (-432.62379212492647, 1522.8993532094623), (-340.40275566835226, 1636.782848902401), (-236.78284890240184, 1740.4027556683516), (-122.89935320946256, 1832.6237921249262), (-5.684341886080801e-13, 1912.435565298214), (130.56869969387867, 1978.9636406996408), (267.3762078750734, 2031.4791228132149), (408.9236328551363, 2069.406641027328), (553.6601514252841, 2092.3306535155825), (699.9999999999998, 2100.0), (846.3398485747142, 2092.3306535155825), (991.0763671448619, 2069.406641027328), (1132.6237921249262, 2031.479122813215), (1269.4313003061197, 1978.9636406996415), (1399.999999999999, 1912.4355652982147), (1522.899353209462, 1832.6237921249267), (1636.782848902401, 1740.4027556683525), (1740.4027556683511, 1636.7828489024023), (1832.6237921249262, 1522.8993532094628), (1912.4355652982138, 1400.0000000000005), (1978.9636406996408, 1269.4313003061213), (2031.4791228132149, 1132.6237921249267), (2069.406641027328, 991.0763671448638), (2092.3306535155825, 846.339848574716), (2100.0, 700.0)]","[[(2024.4251575096396, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.1805785666647, 1235.0), (2024.4251575096396, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1079293051102, 1331.6944093897819, 1362.436787524471, 1398.554842551725, 1399.1079293051102], [789.8271846523438, 644.5223037257904, 782.2718083597513, 924.3208317462071, 1166.2643076421766, 991.6582072468316, 1261.640111900461, 937.8384722328254, 789.8271846523438]]",[],[],"[(777.0, 700.0), (757.0, 694.0), (681.0, 690.0), (646.0, 692.0), (623.0, 694.0), (623.0, 706.0), (646.0, 708.0), (681.0, 710.0), (757.0, 706.0), (777.0, 700.0)]","[(1939, 1187)]",[1331.273826077866],True
1.0,0.5,Unknown,699.9866241971564,700.0,"Moving,Turning",180.0,67.82325504084622,67.82325504084622,292.1767449591538,port,False,,False,,,,,67.82325504084622,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.7601284086463, 905.9939293394851, 3882.154685223143]",[],True,False,False,"[(2100.0, 700.0), (2092.3306535155825, 553.6601514252852), (2069.406641027328, 408.923632855137), (2031.4791228132149, 267.37620787507365), (1978.9636406996412, 130.5686996938798), (1912.4355652982142, 1.1368683772161603e-13), (1832.6237921249265, -122.89935320946245), (1740.402755668352, -236.78284890240138), (1636.7828489024014, -340.4027556683518), (1522.8993532094623, -432.62379212492647), (1400.0, -512.435565298214), (1269.4313003061206, -578.9636406996412), (1132.6237921249265, -631.4791228132149), (991.0763671448633, -669.4066410273279), (846.3398485747151, -692.3306535155825), (700.0000000000001, -700.0), (553.6601514252853, -692.3306535155828), (408.9236328551372, -669.4066410273281), (267.3762078750737, -631.4791228132151), (130.5686996938798, -578.9636406996415), (3.410605131648481e-13, -512.4355652982142), (-122.89935320946222, -432.62379212492647), (-236.78284890240104, -340.40275566835226), (-340.4027556683518, -236.78284890240172), (-432.62379212492624, -122.89935320946256), (-512.435565298214, -4.547473508864641e-13), (-578.963640699641, 130.56869969387935), (-631.4791228132149, 267.3762078750735), (-669.4066410273279, 408.92363285513636), (-692.3306535155825, 553.6601514252848), (-700.0, 699.9999999999998), (-692.3306535155828, 846.3398485747143), (-669.4066410273281, 991.0763671448626), (-631.4791228132151, 1132.6237921249262), (-578.9636406996415, 1269.4313003061197), (-512.4355652982144, 1399.9999999999995), (-432.62379212492647, 1522.8993532094623), (-340.40275566835226, 1636.782848902401), (-236.78284890240184, 1740.4027556683516), (-122.89935320946256, 1832.6237921249262), (-5.684341886080801e-13, 1912.435565298214), (130.56869969387867, 1978.9636406996408), (267.3762078750734, 2031.4791228132149), (408.9236328551363, 2069.406641027328), (553.6601514252841, 2092.3306535155825), (699.9999999999998, 2100.0), (846.3398485747142, 2092.3306535155825), (991.0763671448619, 2069.406641027328), (1132.6237921249262, 2031.479122813215), (1269.4313003061197, 1978.9636406996415), (1399.999999999999, 1912.4355652982147), (1522.899353209462, 1832.6237921249267), (1636.782848902401, 1740.4027556683525), (1740.4027556683511, 1636.7828489024023), (1832.6237921249262, 1522.8993532094628), (1912.4355652982138, 1400.0000000000005), (1978.9636406996408, 1269.4313003061213), (2031.4791228132149, 1132.6237921249267), (2069.406641027328, 991.0763671448638), (2092.3306535155825, 846.339848574716), (2100.0, 700.0)]","[[(2024.4251575096396, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.1805785666647, 1235.0), (2024.4251575096396, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1079293051102, 1331.6944093897819, 1362.436787524471, 1398.554842551725, 1399.1079293051102], [789.8271846523438, 644.5223037257904, 782.2718083597513, 924.3208317462071, 1166.2643076421766, 991.6582072468316, 1261.640111900461, 937.8384722328254, 789.8271846523438]]",[],[],"[(777.0, 700.0), (757.0, 694.0), (681.0, 690.0), (646.0, 692.0), (623.0, 694.0), (623.0, 706.0), (646.0, 708.0), (681.0, 710.0), (757.0, 706.0), (777.0, 700.0)]","[(1939, 1187)]",[1331.273826077866],True
1.5,0.5,Unknown,700.149655469666,699.989858552058,"Moving,Turning",-3.5595282588019987,67.82294209687574,247.82294209687575,112.17705790312426,starboard,False,,False,,,,,-292.17705790312425,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.7651773394396, 906.0049135482343, 3882.163646873391]",[],True,False,False,"[(2099.9866241971563, 700.0), (2092.317277712739, 553.6601514252852), (2069.3932652244844, 408.923632855137), (2031.4657470103712, 267.37620787507365), (1978.9502648967978, 130.5686996938798), (1912.4221894953707, 1.1368683772161603e-13), (1832.610416322083, -122.89935320946245), (1740.3893798655085, -236.78284890240138), (1636.769473099558, -340.4027556683518), (1522.8859774066188, -432.62379212492647), (1399.9866241971565, -512.435565298214), (1269.417924503277, -578.9636406996412), (1132.6104163220828, -631.4791228132149), (991.0629913420196, -669.4066410273279), (846.3264727718715, -692.3306535155825), (699.9866241971565, -700.0), (553.6467756224417, -692.3306535155828), (408.9102570522936, -669.4066410273281), (267.3628320722301, -631.4791228132151), (130.5553238910362, -578.9636406996415), (-0.013375802843256679, -512.4355652982142), (-122.91272901230582, -432.62379212492647), (-236.79622470524464, -340.40275566835226), (-340.4161314711954, -236.78284890240172), (-432.63716792776984, -122.89935320946256), (-512.4489411010576, -4.547473508864641e-13), (-578.9770165024846, 130.56869969387935), (-631.4924986160585, 267.3762078750735), (-669.4200168301714, 408.92363285513636), (-692.3440293184261, 553.6601514252848), (-700.0133758028436, 699.9999999999998), (-692.3440293184264, 846.3398485747143), (-669.4200168301717, 991.0763671448626), (-631.4924986160587, 1132.6237921249262), (-578.9770165024851, 1269.4313003061197), (-512.448941101058, 1399.9999999999995), (-432.63716792777007, 1522.8993532094623), (-340.41613147119585, 1636.782848902401), (-236.79622470524544, 1740.4027556683516), (-122.91272901230616, 1832.6237921249262), (-0.013375802844166174, 1912.435565298214), (130.55532389103507, 1978.9636406996408), (267.3628320722298, 2031.4791228132149), (408.9102570522927, 2069.406641027328), (553.6467756224405, 2092.3306535155825), (699.9866241971562, 2100.0), (846.3264727718706, 2092.3306535155825), (991.0629913420184, 2069.406641027328), (1132.6104163220825, 2031.479122813215), (1269.417924503276, 1978.9636406996415), (1399.9866241971554, 1912.4355652982147), (1522.8859774066186, 1832.6237921249267), (1636.7694730995572, 1740.4027556683525), (1740.3893798655076, 1636.7828489024023), (1832.6104163220825, 1522.8993532094628), (1912.4221894953703, 1400.0000000000005), (1978.9502648967973, 1269.4313003061213), (2031.4657470103712, 1132.6237921249267), (2069.3932652244844, 991.0763671448638), (2092.317277712739, 846.339848574716), (2099.9866241971563, 700.0)]","[[(2024.4117817067959, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.1672027638213, 1235.0), (2024.4117817067959, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1079293051102, 1331.7069947780699, 1362.449088935377, 1398.554842551725, 1399.1079293051102], [789.8328496146408, 644.5253130496402, 782.2721840191564, 924.3181112999155, 1166.2630349806577, 991.6601631414547, 1261.6446404191706, 937.8419808655993, 789.8328496146408]]",[],[],"[(622.9866241971564, 700.0), (642.9866241971564, 706.0), (718.9866241971564, 710.0), (753.9866241971564, 708.0), (776.9866241971564, 706.0), (776.9866241971564, 694.0), (753.9866241971564, 692.0), (718.9866241971564, 690.0), (642.9866241971564, 694.0), (622.9866241971564, 700.0)]","[(1939, 1187)]",[1331.2862747802812],True
2.0,0.5,Unknown,700.6887230339386,699.8565081048856,"Moving,Turning",-13.894462619516245,67.82685322083617,71.3863814796382,288.6136185203618,port,False,,False,,,,,67.82685322083617,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.7130344064476, 905.8768246389338, 3882.0619482502266]",[],True,False,False,"[(2100.149655469666, 699.989858552058), (2092.4803089852485, 553.6500099773432), (2069.556296496994, 408.91349140719495), (2031.6287782828808, 267.3660664271316), (1979.1132961693072, 130.55855824593777), (1912.5852207678802, -0.010141447941919068), (1832.7734475945924, -122.90949465740448), (1740.552411138018, -236.79299035034342), (1636.9325043720673, -340.41289711629383), (1523.0490086791283, -432.6339335728685), (1400.149655469666, -512.445706746156), (1269.5809557757866, -578.9737821475833), (1132.7734475945924, -631.4892642611569), (991.2260226145293, -669.4167824752699), (846.4895040443811, -692.3407949635246), (700.1496554696661, -700.010141447942), (553.8098068949513, -692.3407949635248), (409.0732883248032, -669.4167824752701), (267.52586334473966, -631.4892642611571), (130.71835516354577, -578.9737821475835), (0.14965546966629972, -512.4457067461562), (-122.74969773979626, -432.6339335728685), (-236.63319343273508, -340.4128971162943), (-340.25310019868584, -236.79299035034376), (-432.4741366552603, -122.9094946574046), (-512.285909828548, -0.010141447942487503), (-578.8139852299751, 130.55855824593732), (-631.3294673435489, 267.36606642713144), (-669.2569855576619, 408.91349140719433), (-692.1809980459166, 553.6500099773427), (-699.850344530334, 699.9898585520577), (-692.1809980459168, 846.3297071267723), (-669.2569855576621, 991.0662256969206), (-631.3294673435491, 1132.6136506769842), (-578.8139852299755, 1269.4211588581777), (-512.2859098285485, 1399.9898585520577), (-432.4741366552605, 1522.88921176152), (-340.2531001986863, 1636.7727074544591), (-236.63319343273588, 1740.3926142204095), (-122.7496977397966, 1832.6136506769842), (0.14965546966539023, 1912.425423850272), (130.71835516354463, 1978.9534992516988), (267.5258633447394, 2031.4689813652728), (409.07328832480226, 2069.396499579386), (553.80980689495, 2092.3205120676403), (700.1496554696657, 2099.9898585520577), (846.4895040443802, 2092.3205120676407), (991.2260226145279, 2069.396499579386), (1132.7734475945922, 2031.468981365273), (1269.5809557757857, 1978.9534992516994), (1400.149655469665, 1912.4254238502726), (1523.049008679128, 1832.6136506769847), (1636.932504372067, 1740.3926142204105), (1740.552411138017, 1636.7727074544603), (1832.7734475945922, 1522.8892117615205), (1912.5852207678797, 1399.9898585520586), (1979.1132961693068, 1269.4211588581793), (2031.6287782828808, 1132.6136506769847), (2069.556296496994, 991.0662256969217), (2092.4803089852485, 846.329707126774), (2100.149655469666, 699.989858552058)]","[[(2024.5709200421775, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.3263410992024, 1235.0), (2024.5709200421775, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1075132886476, 1331.5570335057637, 1362.3031370594151, 1398.555125240575, 1399.1075132886476], [789.7730025409678, 644.4985338012963, 782.277758372808, 924.3612113113455, 1166.288652519916, 991.6463683865674, 1261.5989959746896, 937.8090146875898, 789.7730025409678]]",[],[],"[(777.0011095702417, 695.209272539121), (756.6671797249282, 690.4625581969817), (680.5654543262852, 691.1887753473832), (645.757146254931, 695.3579106545774), (622.925688173277, 698.7820195701449), (623.6707145649035, 710.7588695598452), (646.7505147770997, 711.3270439741775), (681.8071649789962, 711.1501919968834), (757.4122061165549, 702.4394081866819), (777.0011095702417, 695.209272539121)]","[(1939, 1187)]",[1331.1382550344167],True
2.5,0.5,Unknown,711.5157382561764,713.9781698580172,"Moving,Turning",52.522778189574694,67.84073806183596,81.73520068135218,278.2647993186478,port,False,,False,,,,,67.84073806183596,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.633142078921, 905.5103785569711, 3881.7998203140555]",[],True,False,False,"[(2100.6887230339385, 699.8565081048856), (2093.019376549521, 553.5166595301707), (2070.0953640612665, 408.7801409600226), (2032.1678458471533, 267.23271597995927), (1979.65236373358, 130.42520779876543), (1913.124288332153, -0.1434918951142663), (1833.3125151588652, -123.04284510457683), (1741.0914787022907, -236.92634079751576), (1637.47157193634, -340.5462475634662), (1523.588076243401, -432.76728402004085), (1400.6887230339387, -512.5790571933284), (1270.120023340059, -579.1071325947556), (1133.312515158865, -631.6226147083293), (991.7650901788018, -669.5501329224422), (847.0285716086537, -692.4741454106969), (700.6887230339387, -700.1434918951144), (554.3488744592239, -692.4741454106971), (409.6123558890758, -669.5501329224425), (268.0649309090123, -631.6226147083295), (131.25742272781838, -579.1071325947559), (0.6887230339389134, -512.5790571933286), (-122.21063017552365, -432.76728402004085), (-236.09412586846247, -340.54624756346664), (-339.71403263441323, -236.9263407975161), (-431.93506909098767, -123.04284510457694), (-511.7468422642754, -0.14349189511483473), (-578.2749176657024, 130.42520779876497), (-630.7903997792763, 267.2327159799591), (-668.7179179933893, 408.780140960022), (-691.641930481644, 553.5166595301704), (-699.3112769660614, 699.8565081048854), (-691.6419304816442, 846.1963566795998), (-668.7179179933895, 990.9328752497483), (-630.7903997792765, 1132.4803002298117), (-578.2749176657029, 1269.2878084110052), (-511.74684226427587, 1399.8565081048853), (-431.9350690909879, 1522.7558613143478), (-339.7140326344137, 1636.6393570072867), (-236.09412586846327, 1740.2592637732373), (-122.21063017552399, 1832.4803002298117), (0.6887230339380039, 1912.2920734030995), (131.25742272781724, 1978.8201488045265), (268.064930909012, 2031.3356309181004), (409.6123558890749, 2069.2631491322136), (554.3488744592227, 2092.187161620468), (700.6887230339383, 2099.8565081048855), (847.0285716086528, 2092.1871616204685), (991.7650901788006, 2069.2631491322136), (1133.3125151588647, 2031.3356309181008), (1270.1200233400582, 1978.820148804527), (1400.6887230339375, 1912.2920734031004), (1523.5880762434008, 1832.4803002298122), (1637.4715719363394, 1740.2592637732382), (1741.0914787022898, 1636.6393570072878), (1833.3125151588647, 1522.7558613143483), (1913.1242883321524, 1399.8565081048862), (1979.6523637335795, 1269.287808411007), (2032.1678458471533, 1132.4803002298124), (2070.0953640612665, 990.9328752497495), (2093.019376549521, 846.1963566796016), (2100.6887230339385, 699.8565081048856)]","[[(2025.0587991657246, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.8142202227498, 1235.0), (2025.0587991657246, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1020509000155, 1331.0950321805294, 1361.8597913640244, 1398.558850175111, 1399.1020509000155], [789.6657837668569, 644.5075570307636, 782.3962132342361, 924.6016304983782, 1166.4728755480055, 991.6997006895352, 1261.5421512183705, 937.7965469795678, 789.6657837668569]]",[],[],"[(775.4356794726432, 681.3661727063483), (754.5800802367299, 680.3444190613939), (679.8433265882145, 694.7116614579396), (646.3477057498042, 705.0578387543841), (624.5009612395039, 712.522405339368), (627.3825719509643, 724.1712816674778), (650.1898533650847, 720.5896738585304), (684.6460111073151, 714.1264553381227), (757.4616909481904, 691.9932953895038), (775.4356794726432, 681.3661727063483)]","[(1939, 1187)]",[1330.6853874440358],True
3.0,0.5,Fail-Condition,148442841.01596826,-69879710.61862132,"Moving,Turning",-25.209119475013775,67.96041974774081,15.43764155816612,344.5623584418339,port,False,,False,,,,,67.96041974774081,3,True,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2250.4756706443013, 888.5742261070732, 3864.062364919842]",[],True,False,False,"[(2111.5157382561765, 713.9781698580172), (2103.846391771759, 567.6383212833023), (2080.9223792835046, 422.90180271315415), (2042.9948610693914, 281.3543777330908), (1990.4793789558175, 144.54686955189698), (1923.9513035543905, 13.978169858017282), (1844.1395303811028, -108.92118335144528), (1751.9184939245283, -222.80467904438422), (1648.298587158578, -326.42458581033463), (1534.4150914656389, -418.6456222669093), (1411.5157382561765, -498.4573954401968), (1280.947038562297, -564.9854708416241), (1144.1395303811028, -617.5009529551977), (1002.5921054010396, -655.4284711693107), (857.8555868308915, -678.3524836575654), (711.5157382561765, -686.0218301419828), (565.1758896814617, -678.3524836575656), (420.4393711113136, -655.4284711693109), (278.8919461312501, -617.5009529551979), (142.0844379500562, -564.9854708416243), (11.515738256176746, -498.45739544019705), (-111.38361495328581, -418.6456222669093), (-225.26711064622464, -326.4245858103351), (-328.8870174121754, -222.80467904438456), (-421.10805386874983, -108.92118335144539), (-500.9198270420376, 13.978169858016713), (-567.4479024434646, 144.54686955189652), (-619.9633845570385, 281.35437773309064), (-657.8909027711514, 422.90180271315353), (-680.8149152594061, 567.6383212833019), (-688.4842617438236, 713.9781698580169), (-680.8149152594063, 860.3180184327314), (-657.8909027711517, 1005.0545370028799), (-619.9633845570387, 1146.6019619829433), (-567.4479024434651, 1283.409470164137), (-500.91982704203804, 1413.9781698580168), (-421.10805386875006, 1536.8775230674794), (-328.88701741217585, 1650.7610187604182), (-225.26711064622543, 1754.3809255263686), (-111.38361495328616, 1846.6019619829435), (11.515738256175837, 1926.4137351562313), (142.08443795005508, 1992.9418105576578), (278.8919461312498, 2045.4572926712322), (420.4393711113127, 2083.384810885345), (565.1758896814605, 2106.3088233736), (711.5157382561762, 2113.9781698580173), (857.8555868308906, 2106.3088233736), (1002.5921054010385, 2083.3848108853454), (1144.1395303811025, 2045.4572926712322), (1280.947038562296, 1992.9418105576588), (1411.5157382561756, 1926.4137351562317), (1534.4150914656384, 1846.601961982944), (1648.2985871585774, 1754.3809255263695), (1751.9184939245274, 1650.7610187604196), (1844.1395303811028, 1536.8775230674798), (1923.95130355439, 1413.9781698580177), (1990.479378955817, 1283.4094701641384), (2042.9948610693914, 1146.601961982944), (2080.922379283504, 1005.054537002881), (2103.846391771759, 860.3180184327332), (2111.5157382561765, 713.9781698580172)]","[[(2037.0, 1162.219108999174), (2037.0, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (2009.06203350695, 1235.0), (2037.0, 1162.219108999174)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.2242378020455, 1395.6706660782181, 1316.1577611282983, 1346.382902313494, 1398.245377536972, 1399.2242378020455], [772.3005994142851, 628.363633594596, 768.0563121307949, 913.0862125787879, 1153.5162568833723, 976.1912046850471, 1244.6036491447742, 921.3591974876653, 772.3005994142851]]",[],[],"[(758.3660787003207, 775.0850074481575), (750.9587308647098, 755.5624257018242), (707.8912175738733, 692.8153994858858), (685.0084176943235, 666.2564561772284), (669.4269695723028, 649.2206563891124), (659.9038260517616, 656.5220081466414), (672.3108930002684, 675.9915918539336), (692.0193117063045, 704.9843190817675), (741.4355873441684, 762.8637774593531), (758.3660787003207, 775.0850074481575)]","[(1939, 1187)]",[1315.4722591600516],True
