total_time,timedelta,simulation_status,World.PrimaryBattleship.x,World.PrimaryBattleship.y,World.PrimaryBattleship.actions,World.PrimaryBattleship.heading,World.PrimaryBattleship.waypoint_heading,World.PrimaryBattleship.option_port,World.PrimaryBattleship.option_starboard,World.PrimaryBattleship.chosen_direction,World.PrimaryBattleship.user_override,World.PrimaryBattleship.user_override_heading,World.PrimaryBattleship.ca_override,World.PrimaryBattleship.ca_override_heading,World.PrimaryBattleship.ca_override_speed,World.PrimaryBattleship.supervisor_override_heading,World.PrimaryBattleship.supervisor_override_speed,World.PrimaryBattleship.chosen_heading,World.PrimaryBattleship.current_speed,World.PrimaryBattleship.out_of_bounds,World.PrimaryBattleship.CollisionAvoidance.relevant_objects,World.PrimaryBattleship.Engine.desired_speed,World.PrimaryBattleship.Navigation.next_waypoint,World.PrimaryBattleship.Navigation.waypoints,World.PrimaryBattleship.Navigation.waypoint_distances,World.PrimaryBattleship.Navigation.completed_waypoints,World.PrimaryBattleship.Navigation.has_waypoints,World.PrimaryBattleship.RadarSonar.collision_warning,World.PrimaryBattleship.RadarSonar.collision_event,World.PrimaryBattleship.RadarSonar.radar_geometry,World.PrimaryBattleship.RadarSonar.radar_objects,World.PrimaryBattleship.RadarSonar.radar_object_distances,World.PrimaryBattleship.RadarSonar.warning_objects,World.PrimaryBattleship.RadarSonar.collision_objects,World.PrimaryBattleship.RadarSonar.transformed_geometry,World.PrimaryBattleship.Weapons.targets,World.PrimaryBattleship.Weapons.target_distances,World.PrimaryBattleship.Weapons.has_targets
0.5,0.5,Unknown,700.0,700.0,Moving,0,67.82325504084622,67.82325504084622,292.1767449591538,port,False,,False,,,,,67.82325504084622,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.7601284086463, 905.9939293394851, 3882.154685223143]",[],True,False,False,"[(2100.0, 700.0), (2092.3306535155825, 553.6601514252852), (2069.406641027328, 408.923632855137), (2031.4791228132149, 267.37620787507365), (1978.9636406996412, 130.5686996938798), (1912.4355652982142, 1.1368683772161603e-13), (1832.6237921249265, -122.89935320946245), (1740.402755668352, -236.78284890240138), (1636.7828489024014, -340.4027556683518), (1522.8993532094623, -432.62379212492647), (1400.0, -512.435565298214), (1269.4313003061206, -578.9636406996412), (1132.6237921249265, -631.4791228132149), (991.0763671448633, -669.4066410273279), (846.3398485747151, -692.3306535155825), (700.0000000000001, -700.0), (553.6601514252853, -692.3306535155828), (408.9236328551372, -669.4066410273281), (267.3762078750737, -631.4791228132151), (130.5686996938798, -578.9636406996415), (3.410605131648481e-13, -512.4355652982142), (-122.89935320946222, -432.62379212492647), (-236.78284890240104, -340.40275566835226), (-340.4027556683518, -236.78284890240172), (-432.62379212492624, -122.89935320946256), (-512.435565298214, -4.547473508864641e-13), (-578.963640699641, 130.56869969387935), (-631.4791228132149, 267.3762078750735), (-669.4066410273279, 408.92363285513636), (-692.3306535155825, 553.6601514252848), (-700.0, 699.9999999999998), (-692.3306535155828, 846.3398485747143), (-669.4066410273281, 991.0763671448626), (-631.4791228132151, 1132.6237921249262), (-578.9636406996415, 1269.4313003061197), (-512.4355652982144, 1399.9999999999995), (-432.62379212492647, 1522.8993532094623), (-340.40275566835226, 1636.782848902401), (-236.78284890240184, 1740.4027556683516), (-122.89935320946256, 1832.6237921249262), (-5.684341886080801e-13, 1912.435565298214), (130.56869969387867, 1978.9636406996408), (267.3762078750734, 2031.4791228132149), (408.9236328551363, 2069.406641027328), (553.6601514252841, 2092.3306535155825), (699.9999999999998, 2100.0), (846.3398485747142, 2092.3306535155825), (991.0763671448619, 2069.406641027328), (1132.6237921249262, 2031.479122813215), (1269.4313003061197, 1978.9636406996415), (1399.999999999999, 1912.4355652982147), (1522.899353209462, 1832.6237921249267), (1636.782848902401, 1740.4027556683525), (1740.4027556683511, 1636.7828489024023), (1832.6237921249262, 1522.8993532094628), (1912.4355652982138, 1400.0000000000005), (1978.9636406996408, 1269.4313003061213), (2031.4791228132149, 1132.6237921249267), (2069.406641027328, 991.0763671448638), (2092.3306535155825, 846.339848574716), (2100.0, 700.0)]","[[(2024.4251575096396, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.1805785666647, 1235.0), (2024.4251575096396, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1079293051102, 1331.6944093897819, 1362.436787524471, 1398.554842551725, 1399.1079293051102], [789.8271846523438, 644.5223037257904, 782.2718083597513, 924.3208317462071, 1166.2643076421766, 991.6582072468316, 1261.640111900461, 937.8384722328254, 789.8271846523438]]",[],[],"[(777.0, 700.0), (757.0, 694.0), (681.0, 690.0), (646.0, 692.0), (623.0, 694.0), (623.0, 706.0), (646.0, 708.0), (681.0, 710.0), (757.0, 706.0), (777.0, 700.0)]","[(1939, 1187)]",[1331.273826077866],True
1.0,0.5,Unknown,699.9866241971564,700.0798713256537,"Moving,Turning",99.50692689162953,67.82325504084622,67.82325504084622,292.1767449591538,port,False,,False,,,,,67.82325504084622,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.7601284086463, 905.9939293394851, 3882.154685223143]",[],True,False,False,"[(2100.0, 700.0), (2092.3306535155825, 553.6601514252852), (2069.406641027328, 408.923632855137), (2031.4791228132149, 267.37620787507365), (1978.9636406996412, 130.5686996938798), (1912.4355652982142, 1.1368683772161603e-13), (1832.6237921249265, -122.89935320946245), (1740.402755668352, -236.78284890240138), (1636.7828489024014, -340.4027556683518), (1522.8993532094623, -432.62379212492647), (1400.0, -512.435565298214), (1269.4313003061206, -578.9636406996412), (1132.6237921249265, -631.4791228132149), (991.0763671448633, -669.4066410273279), (846.3398485747151, -692.3306535155825), (700.0000000000001, -700.0), (553.6601514252853, -692.3306535155828), (408.9236328551372, -669.4066410273281), (267.3762078750737, -631.4791228132151), (130.5686996938798, -578.9636406996415), (3.410605131648481e-13, -512.4355652982142), (-122.89935320946222, -432.62379212492647), (-236.78284890240104, -340.40275566835226), (-340.4027556683518, -236.78284890240172), (-432.62379212492624, -122.89935320946256), (-512.435565298214, -4.547473508864641e-13), (-578.963640699641, 130.56869969387935), (-631.4791228132149, 267.3762078750735), (-669.4066410273279, 408.92363285513636), (-692.3306535155825, 553.6601514252848), (-700.0, 699.9999999999998), (-692.3306535155828, 846.3398485747143), (-669.4066410273281, 991.0763671448626), (-631.4791228132151, 1132.6237921249262), (-578.9636406996415, 1269.4313003061197), (-512.4355652982144, 1399.9999999999995), (-432.62379212492647, 1522.8993532094623), (-340.40275566835226, 1636.782848902401), (-236.78284890240184, 1740.4027556683516), (-122.89935320946256, 1832.6237921249262), (-5.684341886080801e-13, 1912.435565298214), (130.56869969387867, 1978.9636406996408), (267.3762078750734, 2031.4791228132149), (408.9236328551363, 2069.406641027328), (553.6601514252841, 2092.3306535155825), (699.9999999999998, 2100.0), (846.3398485747142, 2092.3306535155825), (991.0763671448619, 2069.406641027328), (1132.6237921249262, 2031.479122813215), (1269.4313003061197, 1978.9636406996415), (1399.999999999999, 1912.4355652982147), (1522.899353209462, 1832.6237921249267), (1636.782848902401, 1740.4027556683525), (1740.4027556683511, 1636.7828489024023), (1832.6237921249262, 1522.8993532094628), (1912.4355652982138, 1400.0000000000005), (1978.9636406996408, 1269.4313003061213), (2031.4791228132149, 1132.6237921249267), (2069.406641027328, 991.0763671448638), (2092.3306535155825, 846.339848574716), (2100.0, 700.0)]","[[(2024.4251575096396, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.1805785666647, 1235.0), (2024.4251575096396, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1079293051102, 1331.6944093897819, 1362.436787524471, 1398.554842551725, 1399.1079293051102], [789.8271846523438, 644.5223037257904, 782.2718083597513, 924.3208317462071, 1166.2643076421766, 991.6582072468316, 1261.640111900461, 937.8384722328254, 789.8271846523438]]",[],[],"[(777.0, 700.0), (757.0, 694.0), (681.0, 690.0), (646.0, 692.0), (623.0, 694.0), (623.0, 706.0), (646.0, 708.0), (681.0, 710.0), (757.0, 706.0), (777.0, 700.0)]","[(1939, 1187)]",[1331.273826077866],True
1.5,0.5,Unknown,700.149655469666,700.0781134946401,"Moving,Turning",-0.6177489383935496,67.82218034755411,328.31525345592456,31.684746544075423,starboard,False,,False,,,,,-292.1778196524459,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.691214950806, 905.9593383823835, 3882.1043532037706]",[],True,False,False,"[(2099.9866241971563, 700.0798713256537), (2092.317277712739, 553.7400227509388), (2069.3932652244844, 409.0035041807907), (2031.4657470103712, 267.45607920072734), (1978.9502648967978, 130.6485710195335), (1912.4221894953707, 0.07987132565381216), (1832.610416322083, -122.81948188380875), (1740.3893798655085, -236.70297757674768), (1636.769473099558, -340.3228843426981), (1522.8859774066188, -432.54392079927277), (1399.9866241971565, -512.3556939725603), (1269.417924503277, -578.8837693739875), (1132.6104163220828, -631.3992514875612), (991.0629913420196, -669.3267697016742), (846.3264727718715, -692.2507821899288), (699.9866241971565, -699.9201286743463), (553.6467756224417, -692.250782189929), (408.9102570522936, -669.3267697016744), (267.3628320722301, -631.3992514875614), (130.5553238910362, -578.8837693739878), (-0.013375802843256679, -512.3556939725605), (-122.91272901230582, -432.54392079927277), (-236.79622470524464, -340.32288434269856), (-340.4161314711954, -236.70297757674803), (-432.63716792776984, -122.81948188380886), (-512.4489411010576, 0.07987132565324373), (-578.9770165024846, 130.64857101953305), (-631.4924986160585, 267.4560792007272), (-669.4200168301714, 409.00350418079006), (-692.3440293184261, 553.7400227509385), (-700.0133758028436, 700.0798713256535), (-692.3440293184264, 846.4197199003679), (-669.4200168301717, 991.1562384705164), (-631.4924986160587, 1132.7036634505798), (-578.9770165024851, 1269.5111716317733), (-512.448941101058, 1400.0798713256534), (-432.63716792777007, 1522.979224535116), (-340.41613147119585, 1636.8627202280547), (-236.79622470524544, 1740.4826269940054), (-122.91272901230616, 1832.7036634505798), (-0.013375802844166174, 1912.5154366238676), (130.55532389103507, 1979.0435120252946), (267.3628320722298, 2031.5589941388685), (408.9102570522927, 2069.4865123529817), (553.6467756224405, 2092.410524841236), (699.9866241971562, 2100.0798713256536), (846.3264727718706, 2092.4105248412366), (991.0629913420184, 2069.4865123529817), (1132.6104163220825, 2031.558994138869), (1269.417924503276, 1979.043512025295), (1399.9866241971554, 1912.5154366238685), (1522.8859774066186, 1832.7036634505803), (1636.7694730995572, 1740.4826269940063), (1740.3893798655076, 1636.8627202280559), (1832.6104163220825, 1522.9792245351164), (1912.4221894953703, 1400.0798713256543), (1978.9502648967973, 1269.5111716317751), (2031.4657470103712, 1132.7036634505805), (2069.3932652244844, 991.1562384705176), (2092.317277712739, 846.4197199003697), (2099.9866241971563, 700.0798713256537)]","[[(2024.4424414361451, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.1978624931703, 1235.0), (2024.4424414361451, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1112086828148, 1331.6799474290087, 1362.4177274249691, 1398.5526191171705, 1399.1112086828148], [789.7604963407521, 644.4474898361731, 782.1923442220472, 924.2399094158607, 1166.1835259905504, 991.5811504865513, 1261.5694863497342, 937.7649067617676, 789.7604963407521]]",[],[],"[(687.2687772330619, 776.0223256486335), (696.4897079502018, 757.2880138996071), (712.9874506328396, 682.9924925919438), (716.7957588808572, 648.1428614850283), (718.6220650046002, 625.1284180648112), (706.786877317902, 623.1464159405367), (701.0155086319264, 645.5001919859958), (693.262137821676, 679.689155718153), (684.6545202635036, 755.3060117753326), (687.2687772330619, 776.0223256486335)]","[(1939, 1187)]",[1331.2570589959703],True
2.0,0.5,Unknown,700.6887230339386,699.8531213725745,"Moving,Turning",-22.65432827934325,67.82601163395198,68.44376057234552,291.5562394276545,port,False,,False,,,,,67.82601163395198,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.6313063760877, 905.8264578859224, 3881.996428973392]",[],True,False,False,"[(2100.149655469666, 700.0781134946401), (2092.4803089852485, 553.7382649199253), (2069.556296496994, 409.0017463497771), (2031.6287782828808, 267.45432136971374), (1979.1132961693072, 130.6468131885199), (1912.5852207678802, 0.07811349464020623), (1832.7734475945924, -122.82123971482235), (1740.552411138018, -236.7047354077613), (1636.9325043720673, -340.3246421737117), (1523.0490086791283, -432.5456786302864), (1400.149655469666, -512.3574518035739), (1269.5809557757866, -578.8855272050012), (1132.7734475945924, -631.4010093185748), (991.2260226145293, -669.3285275326878), (846.4895040443811, -692.2525400209424), (700.1496554696661, -699.9218865053599), (553.8098068949513, -692.2525400209427), (409.0732883248032, -669.328527532688), (267.52586334473966, -631.401009318575), (130.71835516354577, -578.8855272050014), (0.14965546966629972, -512.3574518035741), (-122.74969773979626, -432.5456786302864), (-236.63319343273508, -340.32464217371216), (-340.25310019868584, -236.70473540776163), (-432.4741366552603, -122.82123971482247), (-512.285909828548, 0.07811349463963779), (-578.8139852299751, 130.64681318851945), (-631.3294673435489, 267.45432136971357), (-669.2569855576619, 409.00174634977645), (-692.1809980459166, 553.7382649199249), (-699.850344530334, 700.0781134946399), (-692.1809980459168, 846.4179620693544), (-669.2569855576621, 991.1544806395027), (-631.3294673435491, 1132.7019056195663), (-578.8139852299755, 1269.5094138007598), (-512.2859098285485, 1400.0781134946396), (-432.4741366552605, 1522.9774667041024), (-340.2531001986863, 1636.860962397041), (-236.63319343273588, 1740.4808691629917), (-122.7496977397966, 1832.7019056195663), (0.14965546966539023, 1912.513678792854), (130.71835516354463, 1979.0417541942809), (267.5258633447394, 2031.557236307855), (409.07328832480226, 2069.484754521968), (553.80980689495, 2092.4087670102226), (700.1496554696657, 2100.07811349464), (846.4895040443802, 2092.4087670102226), (991.2260226145279, 2069.484754521968), (1132.7734475945922, 2031.5572363078552), (1269.5809557757857, 1979.0417541942816), (1400.149655469665, 1912.5136787928548), (1523.049008679128, 1832.7019056195668), (1636.932504372067, 1740.4808691629926), (1740.552411138017, 1636.8609623970424), (1832.7734475945922, 1522.9774667041029), (1912.5852207678797, 1400.0781134946405), (1979.1132961693068, 1269.5094138007614), (2031.6287782828808, 1132.7019056195668), (2069.556296496994, 991.1544806395038), (2092.4803089852485, 846.4179620693561), (2100.149655469666, 700.0781134946401)]","[[(2024.604797940549, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.3602189975738, 1235.0), (2024.604797940549, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1111364531123, 1331.5271433655903, 1362.268479578174, 1398.5526679948691, 1399.1111364531123], [789.6930476670153, 644.4125370156967, 782.1895377529506, 924.2748041193016, 1166.200799110348, 991.559060134993, 1261.515949750053, 937.7238466532156, 789.6930476670153]]",[],[],"[(777.1451800344688, 699.2479346037716), (757.0816532209458, 693.4639142197268), (681.0429443574589, 690.2835440566981), (646.0665417342594, 692.660781852932), (623.0894416406395, 694.9086411207188), (623.2188201690866, 706.9079436502985), (646.2390464388554, 708.6598518923715), (681.258575238204, 710.2823816059976), (757.2110317493929, 705.4632167493065), (777.1451800344688, 699.2479346037716)]","[(1939, 1187)]",[1331.105968621907],True
2.5,0.5,Unknown,711.5157382561764,733.1725633598342,"Moving,Turning",71.99864332213909,67.84077033796994,90.4950986173132,269.5049013826868,port,False,,False,,,,,67.84077033796994,3,False,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2267.6362786641585, 905.5123127484276, 3881.8023348824295]",[],True,False,False,"[(2100.6887230339385, 699.8531213725745), (2093.019376549521, 553.5132727978596), (2070.0953640612665, 408.7767542277115), (2032.1678458471533, 267.22932924764814), (1979.65236373358, 130.4218210664543), (1913.124288332153, -0.14687862742539437), (1833.3125151588652, -123.04623183688796), (1741.0914787022907, -236.9297275298269), (1637.47157193634, -340.5496342957773), (1523.588076243401, -432.770670752352), (1400.6887230339387, -512.5824439256395), (1270.120023340059, -579.1105193270668), (1133.312515158865, -631.6260014406404), (991.7650901788018, -669.5535196547534), (847.0285716086537, -692.477532143008), (700.6887230339387, -700.1468786274255), (554.3488744592239, -692.4775321430083), (409.6123558890758, -669.5535196547536), (268.0649309090123, -631.6260014406406), (131.25742272781838, -579.110519327067), (0.6887230339389134, -512.5824439256397), (-122.21063017552365, -432.770670752352), (-236.09412586846247, -340.54963429577776), (-339.71403263441323, -236.92972752982723), (-431.93506909098767, -123.04623183688807), (-511.7468422642754, -0.1468786274259628), (-578.2749176657024, 130.42182106645384), (-630.7903997792763, 267.22932924764797), (-668.7179179933893, 408.77675422771085), (-691.641930481644, 553.5132727978593), (-699.3112769660614, 699.8531213725743), (-691.6419304816442, 846.1929699472887), (-668.7179179933895, 990.9294885174372), (-630.7903997792765, 1132.4769134975006), (-578.2749176657029, 1269.2844216786943), (-511.74684226427587, 1399.8531213725742), (-431.9350690909879, 1522.7524745820367), (-339.7140326344137, 1636.6359702749755), (-236.09412586846327, 1740.255877040926), (-122.21063017552399, 1832.4769134975008), (0.6887230339380039, 1912.2886866707886), (131.25742272781724, 1978.8167620722152), (268.064930909012, 2031.3322441857895), (409.6123558890749, 2069.2597623999022), (554.3488744592227, 2092.183774888157), (700.6887230339383, 2099.8531213725746), (847.0285716086528, 2092.183774888157), (991.7650901788006, 2069.2597623999027), (1133.3125151588647, 2031.3322441857895), (1270.1200233400582, 1978.816762072216), (1400.6887230339375, 1912.288686670789), (1523.5880762434008, 1832.4769134975013), (1637.4715719363394, 1740.2558770409269), (1741.0914787022898, 1636.635970274977), (1833.3125151588647, 1522.7524745820372), (1913.1242883321524, 1399.853121372575), (1979.6523637335795, 1269.2844216786957), (2032.1678458471533, 1132.4769134975013), (2070.0953640612665, 990.9294885174384), (2093.019376549521, 846.1929699472905), (2100.6887230339385, 699.8531213725745)]","[[(2025.0574991209942, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (1992.8129201780193, 1235.0), (2025.0574991209942, 1151.0)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.1019123600663, 1331.0961800379553, 1361.8611221857552, 1398.5589449679667, 1399.1019123600663], [789.6688530125735, 644.5108577742915, 782.399598714264, 924.6049459575423, 1166.476246727658, 991.7030513716873, 1261.545338584828, 937.7998157899644, 789.6688530125735]]",[],[],"[(771.7478196416437, 670.1949894473028), (750.9798881649458, 672.3613278740456), (679.3029547897941, 697.9429076128746), (647.7737065116237, 713.2695674907957), (627.3186031593291, 723.9741808349081), (631.9406496931379, 735.0483257607843), (653.9364352233683, 728.0350940586305), (687.006365679475, 716.3998158226682), (755.6019346987546, 683.4354727999216), (771.7478196416437, 670.1949894473028)]","[(1939, 1187)]",[1330.6866272784744],True
3.0,0.5,Fail-Condition,148442841.01596826,5908869.541913982,"Moving,Turning",2.2792229044106715,67.77558419305743,355.77694087091834,4.223059129081662,starboard,False,,False,,,,,-292.2244158069426,3,True,[],3,"(1556, 2800)","[(1556, 2800), (1444, 1217), (3301, 3582)]","[2232.695528096379, 877.8508883336553, 3849.8372050740963]",[],True,False,False,"[(2111.5157382561765, 733.1725633598342), (2103.846391771759, 586.8327147851194), (2080.9223792835046, 442.09619621497114), (2042.9948610693914, 300.5487712349078), (1990.4793789558175, 163.74126305371396), (1923.9513035543905, 33.17256335983427), (1844.1395303811028, -89.72678984962829), (1751.9184939245283, -203.61028554256723), (1648.298587158578, -307.23019230851764), (1534.4150914656389, -399.4512287650923), (1411.5157382561765, -479.26300193837983), (1280.947038562297, -545.7910773398071), (1144.1395303811028, -598.3065594533807), (1002.5921054010396, -636.2340776674937), (857.8555868308915, -659.1580901557484), (711.5157382561765, -666.8274366401658), (565.1758896814617, -659.1580901557486), (420.4393711113136, -636.2340776674939), (278.8919461312501, -598.3065594533809), (142.0844379500562, -545.7910773398073), (11.515738256176746, -479.26300193838006), (-111.38361495328581, -399.4512287650923), (-225.26711064622464, -307.2301923085181), (-328.8870174121754, -203.61028554256757), (-421.10805386874983, -89.7267898496284), (-500.9198270420376, 33.1725633598337), (-567.4479024434646, 163.7412630537135), (-619.9633845570385, 300.54877123490763), (-657.8909027711514, 442.0961962149705), (-680.8149152594061, 586.8327147851189), (-688.4842617438236, 733.1725633598339), (-680.8149152594063, 879.5124119345485), (-657.8909027711517, 1024.2489305046968), (-619.9633845570387, 1165.7963554847604), (-567.4479024434651, 1302.603863665954), (-500.91982704203804, 1433.172563359834), (-421.10805386875006, 1556.0719165692963), (-328.88701741217585, 1669.9554122622353), (-225.26711064622543, 1773.5753190281857), (-111.38361495328616, 1865.7963554847604), (11.515738256175837, 1945.6081286580481), (142.08443795005508, 2012.136204059475), (278.8919461312498, 2064.651686173049), (420.4393711113127, 2102.579204387162), (565.1758896814605, 2125.503216875417), (711.5157382561762, 2133.1725633598344), (857.8555868308906, 2125.503216875417), (1002.5921054010385, 2102.5792043871625), (1144.1395303811025, 2064.6516861730493), (1280.947038562296, 2012.1362040594756), (1411.5157382561756, 1945.6081286580488), (1534.4150914656384, 1865.7963554847609), (1648.2985871585774, 1773.5753190281866), (1751.9184939245274, 1669.9554122622365), (1844.1395303811028, 1556.0719165692967), (1923.95130355439, 1433.1725633598348), (1990.479378955817, 1302.6038636659555), (2042.9948610693914, 1165.7963554847609), (2080.922379283504, 1024.248930504698), (2103.846391771759, 879.5124119345502), (2111.5157382561765, 733.1725633598342)]","[[(2037.0, 1181.413502500991), (2037.0, 1151.0), (1953.0, 1151.0), (1953.0, 1235.0), (2016.430070846615, 1235.0), (2037.0, 1181.413502500991)], [(1034.5046173579947, 1415.495382642005), (845.0, 1328.0), (721.9634200735406, 1481.9634200735406), (512.0, 1605.0), (589.0273452104698, 1860.9726547895302), (845.0, 1681.0), (1127.1356056934324, 1887.1356056934324), (946.0, 1605.0), (1034.5046173579947, 1415.495382642005)]]","[[1399.2242378020455, 1389.7799447897717, 1309.9095155646814, 1339.0720474725945, 1398.0816111961383, 1399.2242378020455], [754.9081041667383, 609.6209703686416, 748.8637400444778, 894.3654784764836, 1134.4322159828457, 957.1807027835242, 1226.5278542619308, 902.8100289009357, 754.9081041667383]]",[],[],"[(735.3117808246143, 806.4033516806019), (734.837285740924, 785.5281306179268), (715.154479482246, 712.0122334406268), (702.4359980986503, 679.3435905043931), (693.4259908815645, 658.0875379558115), (682.0134004939124, 661.7960121223214), (687.2192109151141, 684.2882227264062), (696.1334955028258, 718.1930237181431), (723.4246953532719, 789.2366047844366), (735.3117808246143, 806.4033516806019)]","[(1939, 1187)]",[1308.6928421429388],True
