mean_heading,std_heading,min_heading,max_heading,range_heading,mean_angle,std_angle,min_angle,max_angle,range_angle,mean_power,std_power,min_power,max_power,range_power,Mode
95.86098717251465,0.01751334654640285,95.83491640969852,95.88674093711296,0.0518245274144391,0.019579475168180153,0.14028241438101832,-0.1913322760723091,0.249862222692529,0.4411944987648381,22719.40359518388,1222.2850870125963,20874.957144920532,24975.86293870563,4100.905793785099,Attack
95.91549528456785,0.01570090596672792,95.89213960286789,95.93897622840409,0.04683662553620138,0.05345566211397458,0.12582534264480644,-0.1415189000620105,0.2262372968440142,0.3677561969060247,23161.638998683287,894.6005597684768,21619.95973272779,24728.45008471361,3108.49035198582,Attack
95.96635122800896,0.014403364591410677,95.944261265373,95.98711092913368,0.042849663760677004,-0.02779231286779345,0.08629486854795962,-0.0989458043305149,0.1026140876693201,0.201559891999835,22884.661011371663,749.9750587162345,21414.13965854756,24174.520160605534,2760.380502057975,Attack
96.01008882559782,0.012446341745283017,95.99140088143514,96.02842480589572,0.03702392446058411,-0.008474477134399059,0.07686771198317328,-0.123435481898081,0.118617422938517,0.242052904836598,22702.15181383113,1042.758695707486,21429.058369615545,24114.757331350407,2685.6989617348627,Attack
96.05017379598077,0.011945039016455857,96.032425364551,96.06801420095516,0.035588836404159,0.04621277365981692,0.11753715029643877,-0.1114471133303088,0.2295602070096767,0.3410073203399855,23298.32260637629,989.913235049338,22247.50945260477,24940.351006704324,2692.8415540995557,Attack
96.08788796923416,0.010295115671927332,96.0719754494208,96.10276927712594,0.030793827705139165,-0.07418196704110887,0.07265331116605439,-0.1771705749371653,0.0470625016925325,0.2242330766296978,22952.87916647604,1100.6948311800486,20971.915817097633,24629.586071416543,3657.6702543189094,Attack
96.12202012517375,0.010930482797081836,96.10601915350026,96.13808998479414,0.03207083129387911,0.02862032650013589,0.16514130693426216,-0.2002228509131619,0.2426595022941731,0.442882353207335,23602.298404655558,1269.641062149766,21379.153988221737,25157.875057263893,3778.721069042156,Attack
96.15595092191384,0.010309149392682416,96.141309632189,96.17221161426768,0.03090198207867445,0.09892656102154326,0.1839582190084295,-0.1541230420820225,0.2924550307862793,0.4465780728683018,23250.9436648065,744.3217676440777,22381.72940666901,24577.227833081328,2195.4984264123195,Attack
96.1928657816056,0.010441015363586648,96.17635649843042,96.20757344414456,0.031216945714135136,-0.08183753852226211,0.06545373517674716,-0.1767605835330563,0.0258716542455658,0.2026322377786221,22560.231584043304,1323.9428753397715,21271.976095259324,25092.93728983238,3820.9611945730576,Attack
96.22526381402423,0.010188463303402142,96.21062266598236,96.2409186780134,0.030296012031044484,0.02842080409582335,0.11587912100241277,-0.1788818240079751,0.1709363731301535,0.34981819713812856,23208.634949634816,866.1713630282627,21806.909047959445,24568.767488082984,2761.8584401235385,Attack
96.26008430264028,0.01036484264708816,96.24454706914298,96.27559230132,0.031045232177021376,-0.010866514702515739,0.09007403658798198,-0.1119001955127366,0.176727004013105,0.2886271995258416,22478.94676889637,1043.9048082668935,21145.05878245935,23840.89901570192,2695.840233242572,Attack
96.29795995254358,0.012972988731811892,96.27931205552838,96.31782461718234,0.038512561653959665,0.0158839748412812,0.08959284580182664,-0.0830970663921755,0.2102488855149988,0.2933459519071743,22416.611999975772,950.4026724346543,21089.98974603237,23963.74401754284,2873.7542715104682,Attack
96.34611383312456,0.016061362528951625,96.32262919129496,96.37022821791844,0.04759902662347315,0.0151112391924978,0.06358441172882569,-0.1104831185051709,0.1008674986023742,0.2113506171075451,22534.729521156307,1055.8647254846637,20906.864696137487,24326.163681244187,3419.2989851066995,Attack
96.39962261477653,0.015878156020706753,96.37567428571636,96.42295741853992,0.047283132823565666,-0.03592533847960048,0.11604314686097895,-0.1957923995249698,0.1321205535446136,0.3279129530695834,22989.066263349923,828.5316304572042,21570.914858859745,23853.363826527253,2282.4489676675075,Attack
96.4571650587763,0.0201991280738483,96.42832323858214,96.4880431423454,0.0597199037632663,0.04228303751121239,0.1316512025527476,-0.1766309657201824,0.1935059355705393,0.3701369012907217,23178.45699625134,845.9794978525965,21600.537126162377,24073.59027744542,2473.053151283042,Attack
96.5318438176558,0.024629526308139242,96.49560557034928,96.5687708379357,0.07316526758641828,-0.06955330906388935,0.09320384334979245,-0.2174888022557017,0.0406398095938252,0.2581286118495269,22541.146179009585,696.9740485452451,21820.0937068191,23850.788313319274,2030.694606500172,Attack
181.44543640704185,44.72706923129534,96.577366669697,202.7534758991067,106.17610922940969,0.2247490594239779,0.23577525673932484,-0.0511811443587475,0.660634635540312,0.7118157798990595,22646.30100595758,1063.5553217820536,21450.149326830004,24435.25919652134,2985.109869691336,Attack
202.89815986216735,0.07969033424419089,202.77977522950044,203.01670053652168,0.23692530702123804,1.8006244364531256,0.6330011743365586,0.8898957160574699,2.759727271374575,1.8698315553171052,22562.98534233524,1121.3280787684976,20922.969252847248,23884.3496635425,2961.380410695252,Attack
203.16275103057336,0.0806706249568751,203.0431302835464,203.28295113868785,0.2398208551414598,2.6216679168756416,0.14838185307669358,2.314890207957834,2.833537175360824,0.5186469674029897,22978.75595486473,1180.939464754901,20833.51011899767,25024.60326068502,4191.09314168735,Attack
203.43190775858662,0.08235490554266144,203.30985809332964,203.55466336185364,0.2448052685240043,1.8793661494131446,0.3872880260037852,1.2694073788284244,2.497843722652297,1.2284363438238728,23258.908316910147,1212.008987034593,20952.63662568797,24721.414262490136,3768.777636802166,Attack
203.7066749469535,0.08396317049420852,203.58215283665396,203.83171763275075,0.2495647960967915,0.30794314771077924,0.5655351125100333,-0.4206531839381064,1.2052521955825903,1.6259053795206968,22943.957769968372,1229.453159637123,21245.843963027855,24742.45535738367,3496.6113943558157,Attack
203.98552374007468,0.08473748235007988,203.85963448654147,204.11149902840455,0.2518645418630854,-0.16397985691480368,0.36427109875981123,-0.55490895649946,0.4952372655209724,1.0501462220204325,22689.704521529442,1179.6278708040663,21738.309284570536,24624.630926194168,2886.321641623632,Attack
204.26534739196424,0.08463105013831707,204.1394954877887,204.39105469782547,0.25155921003675985,0.4600261104351902,0.20999759215236885,0.1606356696942809,0.7084503069301157,0.5478146372358348,23198.69299955688,878.9802216870343,21076.6075104645,24264.420802586537,3187.8132921220385,Attack
